,source,translation,reference,bleu-score,chrf-score,ter-score,bert-score,bleurt-score,comet-score,id,label,error-type
0,"Those poor people, they couldn't hear.","Diese armen Menschen, konnten sie nicht hören.",Diese armen Menschen. Sie können nicht hören.,29.84745896009822,69.3876219478569,42.85714285714285,0.9644544124603271,0.8222846388816833,0.8581828474998474,19860,correct,anaphoric
1,"Those poor people, they couldn't hear.","Diese armen Menschen, konnten nicht hören.",Diese armen Menschen. Sie können nicht hören.,30.509752160562897,73.47330643626516,42.85714285714285,0.954074501991272,0.837509036064148,0.9292383193969728,19860,incorrect,anaphoric
2,"And ultimately I feel that in the same way that we test flame-retardant pajamas in an inferno to ensure they won't catch fire when our child reaches across the stove, so these stories of families negotiating these extreme differences reflect on the universal experience of parenting, which is always that sometimes you look at your child and you think, where did you come from?","Und letztlich spüre ich das genauso, dass wir flammhemmende Pajamas in einem Inferno testen, um sicherzustellen, dass sie nicht Feuer fangen, wenn unser Kind über den Herd reicht, so dass diese Geschichten von Familien, die über diese extremen Unterschiede verhandeln, über die universelle Erfahrung der Begabung nachdenken, was immer so ist, dass man manchmal auf sein Kind schaut und man denkt: Woher kommst du?","""Und letztendlich denke ich, dass genauso wie wir flammfeste Schlafanzüge in einem Inferno testen, um sicherzustellen, dass sie nicht Feuer fangen, wenn unser Kind über den Herd langt, auch diese Geschichten von Familien, die diese extremen Unterschiede zu überwinden haben, die universelle Erfahrung des Elternseins widerspiegeln, welche immer darauf hinausläuft, dass man manchmal dein Kind ansiehst und sich fragt: """"Von welchem Planeten kommst du?""""""",39.745291489631775,63.22051362872188,48.4375,0.9247083067893982,0.5614761710166931,0.6122844219207764,19978,correct,anaphoric
3,"And ultimately I feel that in the same way that we test flame-retardant pajamas in an inferno to ensure they won't catch fire when our child reaches across the stove, so these stories of families negotiating these extreme differences reflect on the universal experience of parenting, which is always that sometimes you look at your child and you think, where did you come from?","Und letztlich spüre ich das genauso, dass wir flammhemmende Pajamas in einem Inferno testen, um sicherzustellen, dass nicht Feuer fangen, wenn unser Kind über den Herd reicht, so dass diese Geschichten von Familien, die über diese extremen Unterschiede verhandeln, über die universelle Erfahrung der Begabung nachdenken, was immer so ist, dass man manchmal auf sein Kind schaut und man denkt: Woher kommst du?","""Und letztendlich denke ich, dass genauso wie wir flammfeste Schlafanzüge in einem Inferno testen, um sicherzustellen, dass sie nicht Feuer fangen, wenn unser Kind über den Herd langt, auch diese Geschichten von Familien, die diese extremen Unterschiede zu überwinden haben, die universelle Erfahrung des Elternseins widerspiegeln, welche immer darauf hinausläuft, dass man manchmal dein Kind ansiehst und sich fragt: """"Von welchem Planeten kommst du?""""""",35.84898077129245,61.95708167131882,50.0,0.9216997623443604,0.5349664688110352,0.5571016669273376,19978,incorrect,anaphoric
4,"So the insect is continually trying to fight off the parasite, and so is the human body continually trying to fight it off.","Das Insekt versucht also ständig, den Parasiten zu bekämpfen, und so versucht der menschliche Körper ständig, ihn zu bekämpfen.","Also versucht das Insekt dauernd, den Parasiten abzuwehren, und genauso versucht ihn der menschliche Körper dauernd abzuwehren.",13.224473398607676,52.336834680808565,58.82352941176471,0.9540494084358216,0.8034630417823792,0.8504555821418762,20047,correct,anaphoric
5,"So the insect is continually trying to fight off the parasite, and so is the human body continually trying to fight it off.","Das Insekt versucht also ständig, den Parasiten zu bekämpfen, und so versucht der menschliche Körper ständig, zu bekämpfen.","Also versucht das Insekt dauernd, den Parasiten abzuwehren, und genauso versucht ihn der menschliche Körper dauernd abzuwehren.",13.596634387289887,51.8645312001635,58.82352941176471,0.9508457779884338,0.6535879969596863,0.7477872371673584,20047,incorrect,anaphoric
6,"When I told my relatives in India that I was writing a book about malaria, they kind of looked at me like I told them I was writing a book about warts or something.","Als ich meinen Verwandten in Indien erzählte, dass ich ein Buch über Malaria schreibe, schauten sie mich so an, wie ich ihnen sagte, ich schreibe ein Buch über Warzen oder etwas.","Als ich meinen Verwandten in Indien erzählt habe, dass ich ein Buch über Malaria schreibe, haben sie mich so angeschaut, als ob ich erzählt hätte, dass ich ein Buch über Warzen schriebe.",45.55504606364031,69.80656594286552,37.5,0.9560014605522156,0.7792409062385559,0.812356173992157,20090,correct,anaphoric
7,"When I told my relatives in India that I was writing a book about malaria, they kind of looked at me like I told them I was writing a book about warts or something.","Als ich meinen Verwandten in Indien erzählte, dass ich ein Buch über Malaria schreibe, schauten mich so an, wie ich ihnen sagte, ich schreibe ein Buch über Warzen oder etwas.","Als ich meinen Verwandten in Indien erzählt habe, dass ich ein Buch über Malaria schreibe, haben sie mich so angeschaut, als ob ich erzählt hätte, dass ich ein Buch über Warzen schriebe.",43.673888195639165,67.30709636607041,40.625,0.9528704285621644,0.6917364001274109,0.7443069815635681,20090,incorrect,anaphoric
8,"We've got a disease. It's scientifically complicated, it's economically challenging to deal with, and it's one for which the people who stand to benefit the most care about it the least.","Wir haben eine Krankheit, es ist wissenschaftlich kompliziert, es ist wirtschaftlich anspruchsvoll, damit umzugehen, und es ist eine, für die sich die Menschen, die am meisten davon profitieren, am wenigsten kümmern.","Wir haben eine Krankheit. Sie ist wissenschaftlich komplex, eine wirtschaftliche Herausforderung, und die größten potentiellen Nutznießer interessieren sich am wenigsten für sie.",9.93086778783572,51.88719398597195,100.0,0.910528302192688,0.7167307734489441,0.8558598160743713,20103,correct,anaphoric
9,"We've got a disease. It's scientifically complicated, it's economically challenging to deal with, and it's one for which the people who stand to benefit the most care about it the least.","Wir haben eine Krankheit, es ist wissenschaftlich kompliziert, es ist wirtschaftlich anspruchsvoll, damit umzugehen, und ist eine, für die sich die Menschen, die am meisten davon profitieren, am wenigsten kümmern.","Wir haben eine Krankheit. Sie ist wissenschaftlich komplex, eine wirtschaftliche Herausforderung, und die größten potentiellen Nutznießer interessieren sich am wenigsten für sie.",10.203198615804732,51.81060744782046,95.45454545454544,0.9083119034767152,0.6921895146369934,0.8410120606422424,20103,incorrect,anaphoric
