,source,translation,reference,bleu-score,chrf-score,ter-score,bert-score,bleurt-score,comet-score,id,label,error-type
0,"Proper nutritional practices alone cannot generate elite performances, but they can significantly affect athletes' overall wellness.","Las prácticas nutricionales adecuadas por sí solas no pueden generar rendimiento de élite, pero pueden afectar significativamente el bienestar general de los atletas.","No es posible que las prácticas nutricionales adecuadas, por sí solas, generen un rendimiento de elite, pero puede influir en gran medida el bienestar general de los atletas .",27.991047610842205,67.61518858271319,55.172413793103445,0.9483193159103394,0.8466377258300781,0.9083252549171448,0,correct,addition
1,"Proper nutritional practices alone cannot generate elite performances, but they can significantly affect athletes' overall wellness.","Las prácticas nutricionales adecuadas por sí solas no pueden generar rendimiento de élite, pero pueden afectar significativamente el bienestar general de los jóvenes atletas.","No es posible que las prácticas nutricionales adecuadas, por sí solas, generen un rendimiento de elite, pero puede influir en gran medida el bienestar general de los atletas .",21.33170109066468,66.25770024751665,55.172413793103445,0.9463538527488708,0.770900547504425,0.9035642147064208,0,incorrect,addition
2," has geographic variations, where the age limit might be shorter in places such as North America than in Europe.","tiene variaciones geográficas, donde el límite de edad puede ser más corto en lugares como América del Norte que en Europa."," varía geográficamente, donde el límite de edad podría ser más acotado en sitios como América del Norte que en Europa.",53.70572866604656,66.61339043984881,30.0,0.9554966688156128,0.7931022047996521,0.9077025651931764,1,correct,addition
3," has geographic variations, where the age limit might be shorter in places such as North America than in Europe.","La definición tiene variaciones geográficas, donde el límite de edad puede ser más corto en lugares como América del Norte que en Europa."," varía geográficamente, donde el límite de edad podría ser más acotado en sitios como América del Norte que en Europa.",49.124158433111575,65.66254847961704,40.0,0.9476656913757324,0.7899743914604187,0.907111406326294,1,incorrect,addition
4,The U.N. also hopes to finalize a fund to help countries affected by warming to cope with the impacts.,La ONU también espera finalizar un fondo para ayudar a los países afectados por el calentamiento a hacer frente a los impactos.,"La ONU tiene la intención de completar un fondo de asistencia en favor de los países víctima de los efectos del calentamiento , a fin de poder enfrentar su impacto.",4.577189730717774,37.64220338193617,73.33333333333333,0.9126855731010436,0.7575007081031799,0.8453546762466431,2,correct,addition
5,The U.N. also hopes to finalize a fund to help countries affected by warming to cope with the impacts.,La ONU también espera finalizar un fondo para ayudar a los países afectados por el calentamiento global a hacer frente a los impactos.,"La ONU tiene la intención de completar un fondo de asistencia en favor de los países víctima de los efectos del calentamiento , a fin de poder enfrentar su impacto.",4.625868998938299,37.6756169787275,73.33333333333333,0.91073739528656,0.7281194925308228,0.8511155247688293,2,incorrect,addition
6,"Several million vials of vaccine have also been promised by the government, which will help prepare health agencies for next year.","Varios millones de frascos de vacuna también han sido prometidos por el gobierno, lo que ayudará a preparar a las agencias de salud para el próximo año.","Las autoridades también han garantizado varios millones de viales de la vacuna para luchar , lo que permitirá a las empresas sanitarias prepararse para el próximo año.",21.202634869562416,46.36820024341532,62.96296296296296,0.9288539290428162,0.5924236178398132,0.8006961345672607,3,correct,addition
7,"Several million vials of vaccine have also been promised by the government, which will help prepare health agencies for next year.","Varios millones de frascos de vacuna contra la encefalitis también han sido prometidos por el gobierno, lo que ayudará a preparar a las agencias de salud para el próximo año.","Las autoridades también han garantizado varios millones de viales de la vacuna para luchar , lo que permitirá a las empresas sanitarias prepararse para el próximo año.",19.40607132532531,47.71412694173296,70.37037037037037,0.9184494614601136,0.6022347211837769,0.7716824412345886,3,incorrect,addition
8,Pre-operative people should not expect to pass through the scanners with their privacy and dignity intact.,Las personas preoperativas no deben esperar pasar por los escáneres con su privacidad y dignidad intactas.,Las personas que aún no se han operado no deben esperar pasar por los escáners con su dignidad y privacidad intactas.,29.69339818653497,71.9630864372073,42.85714285714285,0.9441460967063904,0.763929545879364,0.7740772366523743,4,correct,addition
9,Pre-operative people should not expect to pass through the scanners with their privacy and dignity intact.,Las personas transgénero preoperativas no deben esperar pasar por los escáneres con su privacidad y dignidad intactas.,Las personas que aún no se han operado no deben esperar pasar por los escáners con su dignidad y privacidad intactas.,29.963847019163083,71.16148187031061,42.85714285714285,0.9330872893333436,0.7098737359046936,0.7795578837394714,4,incorrect,addition
