,source,translation,reference,bleu-score,chrf-score,ter-score,bert-score,bleurt-score,comet-score,id,label,error-type
0,“Air”、Howie B、Mars IV、Les Négresses Vertes 和 FFF 等乐队以及曼吕·乔也参与了此专辑。,"Cassius, the groups ``Air '', Howie B, Mars IV, Les Négresses Vertes and FFF, and Manu Chao also participated in the album.","Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the album.",49.78099552165915,72.14387063104314,35.0,0.9667603373527528,0.775714099407196,0.8703804612159729,2862,correct,overtranslation
1,“Air”、Howie B、Mars IV、Les Négresses Vertes 和 FFF 等乐队以及曼吕·乔也参与了此专辑。,"Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the concept album.","Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the album.",90.57663352887248,95.41852474843044,5.0,0.9961807131767272,0.8155710101127625,0.8851045966148376,2862,incorrect,overtranslation
2,接下来，耶尔与演员 Jaggu Dada 一起出现在卡纳达语电影《Darshan》中。,Iyer next appeared in the Kannada film ``Darshan ''with actor Jaggu Dada.,Next Iyer appeared in Kannada - movie ``Darshan ''with the actor Jaggu Dada.,36.11968100149042,66.6565327014294,30.76923076923077,0.967383623123169,0.8934444785118103,0.9298253655433656,2863,correct,overtranslation
3,接下来，耶尔与演员 Jaggu Dada 一起出现在卡纳达语电影《Darshan》中。,Next Iyer appeared in Kannada - movie ``Darshan ''with the actress Jaggu Dada.,Next Iyer appeared in Kannada - movie ``Darshan ''with the actor Jaggu Dada.,81.53551038173119,92.26056181827346,7.6923076923076925,0.9963955879211426,0.949761927127838,0.9272543787956238,2863,incorrect,overtranslation
4,现在，这座城堡收藏不断变化的博物馆展品，还存放着一些民族志藏品。,"Today the castle hosts changing museum exhibits, and houses several ethnographic collections.","Today, the castle houses changing museum exhibits and accommodates several ethnographic collections.",31.415402948866543,77.37303736670304,33.33333333333333,0.9724698066711426,0.8294875621795654,0.924120306968689,2864,correct,overtranslation
5,现在，这座城堡收藏不断变化的博物馆展品，还存放着一些民族志藏品。,"Today, the castle houses changing science museum exhibits and accommodates several ethnographic collections.","Today, the castle houses changing museum exhibits and accommodates several ethnographic collections.",80.03203203845001,95.5237249086825,8.333333333333332,0.9906529188156128,0.8757409453392029,0.9113829731941224,2864,incorrect,overtranslation
6,这是西孟加拉邦纳迪亚县纳巴德维普镇的主要火车站。,This is the main railway station of Nabadwip City of Nadia District in the state of West Bengal.,This is the main railway station of Nabadwip town of Nadia District in the state of West Bengal.,84.92326635760686,91.66011871641452,5.555555555555555,0.9926036596298218,0.879410445690155,0.9257431030273438,2865,correct,overtranslation
7,这是西孟加拉邦纳迪亚县纳巴德维普镇的主要火车站。,This is the main railway station of Nabadwip boom town of Nadia District in the state of West Bengal.,This is the main railway station of Nabadwip town of Nadia District in the state of West Bengal.,85.78928092681431,95.6799988970307,5.555555555555555,0.9939357042312622,0.8540605902671814,0.8916942477226257,2865,incorrect,overtranslation
8,2016 年 11 月 13 日，丹尼斯·华莱士在晓臣市附近的福克斯·格罗夫公园谋杀了大卫·马查多。,"On November 13, 2016, Deputy David Machado was murdered in Fox Grove Park near the City of Hughson by Dennis Wallace.","On November 13, 2016, David Machado was murdered in Fox Grove Park near the city of Hughson by Dennis Wallace.",76.41254083103469,92.83227635320824,5.0,0.9883329272270204,0.8278750777244568,0.9106305241584778,2866,correct,overtranslation
9,2016 年 11 月 13 日，丹尼斯·华莱士在晓臣市附近的福克斯·格罗夫公园谋杀了大卫·马查多。,"On November 13, 2016, David Machado was murdered in Fox Grove Park near the national capital of Hughson by Dennis Wallace.","On November 13, 2016, David Machado was murdered in Fox Grove Park near the city of Hughson by Dennis Wallace.",83.95876230925758,91.08637750966923,10.0,0.9859569668769836,0.86444491147995,0.9097084403038024,2866,incorrect,overtranslation
10,弗拉维亚·格莱斯克，更广为人知的名字是弗拉维亚·亚历杭德拉·格莱斯克·法金（1978 年 5 月 15 日出生），是一名委内瑞拉女演员和模特。,"Flavia Gleske, better known as Flavia Alejandra Gleske Fajin (born 15 May 1978) is a Venezuelan actress.","Flavia Gleske, better known as Flavia Alejandra Gleske Fajin (born 15 May 1978) is a Venezuelan actress and model.",87.2958005807749,92.12158140253392,15.789473684210526,0.9929864406585692,0.8773749470710754,0.9289788007736206,2867,correct,overtranslation
11,弗拉维亚·格莱斯克，更广为人知的名字是弗拉维亚·亚历杭德拉·格莱斯克·法金（1978 年 5 月 15 日出生），是一名委内瑞拉女演员和模特。,"Flavia Gleske, better known as Flavia Alejandra Gleske Fajin (born 15 May 1978) is a Venezuelan leading lady and model.","Flavia Gleske, better known as Flavia Alejandra Gleske Fajin (born 15 May 1978) is a Venezuelan actress and model.",83.95876230925758,89.38537098557408,10.526315789473683,0.9805944561958312,0.8598719835281372,0.8973198533058167,2867,incorrect,overtranslation
12,维班内是印度喀拉拉邦内杜芒格阿德乡的阿鲁维卡拉乡下的一个村庄。维班内隶属于蒂鲁文南特布勒姆区的内杜芒格阿德潘查雅特。,"Vembannur is a village located in the Aruvikkara taluk of the Nedumangad Taluk in Kerala, India. Vembannur comes under the Nedumangad panchayat of the Thiruvananthapuram District.","Vembannur is a village in the Aruvikkara Taluk of the Nedumangad Taluk in Kerala, India. Vembannur comes under the Nedumangad Panchayat of the Thiruvananthapuram District.",70.91299972295235,92.48699516597824,4.0,0.9913548231124878,0.9060215950012208,0.9272693991661072,2868,correct,overtranslation
13,维班内是印度喀拉拉邦内杜芒格阿德乡的阿鲁维卡拉乡下的一个村庄。维班内隶属于蒂鲁文南特布勒姆区的内杜芒格阿德潘查雅特。,"Vembannur is a moshav in the Aruvikkara Taluk of the Nedumangad Taluk in Kerala, India. Vembannur comes under the Nedumangad Panchayat of the Thiruvananthapuram District.","Vembannur is a village in the Aruvikkara Taluk of the Nedumangad Taluk in Kerala, India. Vembannur comes under the Nedumangad Panchayat of the Thiruvananthapuram District.",90.25139799587888,94.11097127044262,4.0,0.9840019345283508,0.878474771976471,0.8856762051582336,2868,incorrect,overtranslation
14,此外，他们积极锻炼、自由学习并渴望探索。,"In addition, they are actively physically active, free to learn and eager to explore.","In addition, they are physically active, free to learn and eager to explore.",82.82477531331043,93.42442888154496,7.6923076923076925,0.9933231472969056,0.8538176417350769,0.9299136996269226,2869,correct,overtranslation
15,此外，他们积极锻炼、自由学习并渴望探索。,"In additive, they are physically active, free to learn and eager to explore.","In addition, they are physically active, free to learn and eager to explore.",87.61560783209455,92.60005904062216,7.6923076923076925,0.9728501439094543,0.7548941969871521,0.9083859920501708,2869,incorrect,overtranslation
16,他于 1940 年 5 月 5 日出生于君士坦丁堡（伊斯坦布尔），2011 年 11 月 19 日因癌症在雅典去世。,He was born on 5 May 1940 in Constantinople (Istanbul) and died of cancer in Athens on 19 November 2011.,"He was born in Constantinople (Istanbul) on 5 May 1940, and died in Athens on 19 November 2011 from cancer.",52.89735746151241,79.27746063346936,35.0,0.9652442336082458,0.8354071974754333,0.9303002953529358,2870,correct,overtranslation
