,source,translation,reference,bleu-score,chrf-score,ter-score,id,qual,error-type
0,"Jerry wanted to get lotion out of the bottle, but couldn't because the bottle was empty.","Jerry voulait sortir de la lotion de la bouteille, mais ne pouvait pas parce que la bouteille était vide.","Jerry voulait sortir de la lotion de la bouteille, mais ne pouvait pas.",65.06288047460379,89.62372085262437,53.84615384615385,887,good,real-world-knowledge
1,"Jerry wanted to get lotion out of the bottle, but couldn't because the bottle was empty.","Jerry voulait sortir de la lotion de la bouteille, mais ne pouvait pas parce que la lotion était vide.","Jerry voulait sortir de la lotion de la bouteille, mais ne pouvait pas.",65.06288047460379,90.49830982889995,53.84615384615385,887,bad,real-world-knowledge
2,The dog was cooler than the cat because the dog was sitting under the tree.,Le chien était plus frais que le chat parce que le chien était assis sous l' arbre.,Le chien était plus frais que le chat.,40.052744847255724,77.43456913136083,125.0,888,good,real-world-knowledge
3,The dog was cooler than the cat because the dog was sitting under the tree.,Le chien était plus frais que le chat parce que le chat était assis sous l' arbre.,Le chien était plus frais que le chat.,40.052744847255724,77.87077654966913,125.0,888,bad,real-world-knowledge
4,They decided to not use the rose as a dye and instead as a medicine because the medicine was useful.,Ils ont décidé de ne pas utiliser la rose comme colorant mais plutôt comme médicament parce que le médicament était utile.,Ils ont décidé de ne pas utiliser la rose comme colorant mais plutôt comme médicament.,66.79389370841879,90.93837691641666,46.666666666666664,889,good,real-world-knowledge
5,They decided to not use the rose as a dye and instead as a medicine because the medicine was useful.,Ils ont décidé de ne pas utiliser la rose comme colorant mais plutôt comme médicament parce que le colorant était utile.,Ils ont décidé de ne pas utiliser la rose comme colorant mais plutôt comme médicament.,66.79389370841879,91.42282448518458,46.666666666666664,889,bad,real-world-knowledge
6,"The bird decided to eat the worm instead of the popcorn, because it thought that the worm was good.","L' oiseau a décidé de manger le ver au lieu du pop-corn, car il pensait que le ver était bon.",L' oiseau a décidé de manger le ver au lieu du pop-corn.,52.03412353479889,86.57126727727892,75.0,890,good,real-world-knowledge
7,"The bird decided to eat the worm instead of the popcorn, because it thought that the worm was good.","L' oiseau a décidé de manger le ver au lieu du pop-corn, car il pensait que le pop-corn était bon.",L' oiseau a décidé de manger le ver au lieu du pop-corn.,52.03412353479889,84.81513640597139,75.0,890,bad,real-world-knowledge
8,Darla wore a mask on her face instead of makeup because the makeup was disallowed for the masquerade.,Darla portait un masque sur son visage au lieu de maquillage parce que le maquillage était interdit pour la mascarade.,Darla portait un masque sur son visage au lieu de maquillage.,49.52330116157306,82.30010632089068,90.9090909090909,891,good,real-world-knowledge
9,Darla wore a mask on her face instead of makeup because the makeup was disallowed for the masquerade.,Darla portait un masque sur son visage au lieu de maquillage parce que le masque était interdit pour la mascarade.,Darla portait un masque sur son visage au lieu de maquillage.,49.52330116157306,83.44911605340674,90.9090909090909,891,bad,real-world-knowledge
10,The fashion designer got stellar reviews on the new clothing but bad ones on the underwear because the clothing was stylish.,Le créateur de mode a reçu des critiques stellaires sur les nouveaux vêtements mais de mauvaises sur les sous-vêtements parce que les vêtements étaient élégants.,Le créateur de mode a reçu des critiques stellaires sur les nouveaux vêtements mais de mauvaises sur les sous-vêtements.,72.27776964772762,93.10690292228823,36.84210526315789,892,good,real-world-knowledge
11,The fashion designer got stellar reviews on the new clothing but bad ones on the underwear because the clothing was stylish.,Le créateur de mode a reçu des critiques stellaires sur les nouveaux vêtements mais de mauvaises sur les sous-vêtements parce que les sous-vêtements étaient élégants.,Le créateur de mode a reçu des critiques stellaires sur les nouveaux vêtements mais de mauvaises sur les sous-vêtements.,72.27776964772762,92.24072664363689,36.84210526315789,892,bad,real-world-knowledge
12,The red candle burnt very fast under the flame because the flame is very high.,La bougie rouge a brûlé très vite sous la flamme car la flamme est très élevée.,La bougie rouge a brûlé très vite sous la flamme.,55.81600587827485,87.02426021350838,70.0,893,good,real-world-knowledge
13,The red candle burnt very fast under the flame because the flame is very high.,La bougie rouge a brûlé très vite sous la flamme car la bougie est très élevée.,La bougie rouge a brûlé très vite sous la flamme.,55.81600587827485,87.02426021350838,70.0,893,bad,real-world-knowledge
