,source,translation,reference,bleu-score,chrf-score,ter-score,id,qual,error-type
0,"Dance was one of the inspirations for the exodus - song ``The Toxic Waltz '', from their 1989 album`` Fabulous Disaster''.","Der Tanz war eine der Inspirationen für den Exodus-Song „The Toxic Waltz“, von ihrem 1989er Album „Fabulous Disaster''.",Dance war eine der Inspirationen für das Exodus-Lied „The Toxic Waltz“ von ihrem 1989er Album „Fabulous Disaster“.,42.849450901003145,78.9628236142824,35.294117647058826,19017,good,do-not-translate
1,"Dance was one of the inspirations for the exodus - song ``The Toxic Waltz '', from their 1989 album`` Fabulous Disaster''.","Der Tanz war eine der Inspirationen für den Exodus-Song „Der Toxische Walzer“, von ihrem 1989er Album „Fabulous Disaster''.",Dance war eine der Inspirationen für das Exodus-Lied „The Toxic Waltz“ von ihrem 1989er Album „Fabulous Disaster“.,36.71108520099891,70.01563732671875,47.05882352941176,19017,bad,do-not-translate
2,"Their music is considered by many as alternative metal with rap metal and industrial metal influences. According to previous interviews, they consider themselves ``murder rock ''.","Ihre Musik wird von vielen als alternativer Metal mit Rap Metal- und Industrial Metal-Einflüssen angesehen, die sich laut früheren Interviews als „murder - rock“ bezeichnen.",Ihre Musik wird von vielen für Alternative Metal mit Einflüssen von Rap Metal und Industrial Metal gehalten. In früheren Interviews bezeichnen sie sich selbst als „Murder Rock”.,18.558816000270507,65.09164658822583,55.55555555555556,19018,good,do-not-translate
3,"Their music is considered by many as alternative metal with rap metal and industrial metal influences. According to previous interviews, they consider themselves ``murder rock ''.","Ihre Musik wird von vielen als alternativer Metal mit Rap Metal- und Industrial Metal-Einflüssen angesehen, die sich laut früheren Interviews als „mord - rock“ bezeichnen.",Ihre Musik wird von vielen für Alternative Metal mit Einflüssen von Rap Metal und Industrial Metal gehalten. In früheren Interviews bezeichnen sie sich selbst als „Murder Rock”.,18.558816000270507,64.36622044906395,59.25925925925925,19018,bad,do-not-translate
4,"She appeared in July 2016 as Joseph Conrad in ``The Secret Agent '', based on the same novel by Winnie Verloc.","""Im Juli 2016 erschien sie als Joseph Conrad in """"The Secret Agent"""", der auf dem gleichnamigen Roman von Winnie Verloc beruht.""","Sie erschien im Juli 2016 als Joseph Conrad in „The Secret Agent“, basierend auf dem gleichen Roman von Winnie Verloc.",20.58740953537466,70.81727270875682,45.0,19019,good,do-not-translate
5,"She appeared in July 2016 as Joseph Conrad in ``The Secret Agent '', based on the same novel by Winnie Verloc.","""Im Juli 2016 erschien sie als Joseph Conrad in """"Der Geheimagent"""", der auf dem gleichnamigen Roman von Winnie Verloc beruht.""","Sie erschien im Juli 2016 als Joseph Conrad in „The Secret Agent“, basierend auf dem gleichen Roman von Winnie Verloc.",21.023693683267553,62.306639616461766,50.0,19019,bad,do-not-translate
6,"``Lupinus bicolor ''has a thin stem and short, hairy, palmately-arranged leaves.","„Lupinus bicolor“ hat einen dünnen Stiel und kurze, pelzige, handförmige Blätter.","„Lupinus bicolor“ hat einen dünnen Stiel und kurze, pelzige, handförmig zusammengesetzte Blätter.",75.33291439517507,82.1379050313444,16.666666666666664,19020,good,do-not-translate
7,"``Lupinus bicolor ''has a thin stem and short, hairy, palmately-arranged leaves.","„Zweifarbige Lupine“ hat einen dünnen Stiel und kurze, pelzige, handförmige Blätter.","„Lupinus bicolor“ hat einen dünnen Stiel und kurze, pelzige, handförmig zusammengesetzte Blätter.",60.05355991288572,68.06200697901637,33.33333333333333,19020,bad,do-not-translate
8,"The character and cast was revealed on November 20, when Fotiou was published behind the scenes in a video seen by the ``Neighbours ''on their YouTube channel.","Rolle und Casting wurden am 20. November bekanntgegeben, als Fotiou in einem Video hinter den Kulissen der Serie „Neighbours“ zu sehen war, veröffentlicht über den YouTube-Kanal der Serie.","Die Figur und Besetzung wurden am 20. November veröffentlicht, als Fotiou mit einem Video hinter den Kulissen veröffentlicht wurde, das von den „Neighbours“ auf ihrem YouTube-Kanal gesehen wurde.",28.381756881487178,58.149160250355,57.14285714285714,19021,good,do-not-translate
9,"The character and cast was revealed on November 20, when Fotiou was published behind the scenes in a video seen by the ``Neighbours ''on their YouTube channel.","Rolle und Casting wurden am 20. November bekanntgegeben, als Fotiou in einem Video hinter den Kulissen der Serie „Nachbarn“ zu sehen war, veröffentlicht über den YouTube-Kanal der Serie.","Die Figur und Besetzung wurden am 20. November veröffentlicht, als Fotiou mit einem Video hinter den Kulissen veröffentlicht wurde, das von den „Neighbours“ auf ihrem YouTube-Kanal gesehen wurde.",28.02013200056329,53.60276614778865,57.14285714285714,19021,bad,do-not-translate
