,source,translation,reference,bleu-score,chrf-score,ter-score,bert-score,bleurt-score,comet-score,id,label,error-type
0,德克萨斯州不认为教育有益。,Texas doesn't think education is good.,Texas does not consider education beneficial.,8.643019616048525,42.30559138403073,83.33333333333334,0.940690279006958,0.7840449213981628,0.7839507460594177,3088,correct,xnli
1,德克萨斯州不认为教育有益。,Texas considers the various forms of education to be costbeneficial in its Medicaid program.,Texas does not consider education beneficial.,3.4585921141027365,50.85945259069574,200.0,0.8988415598869324,0.4354226589202881,0.6694018244743347,3088,incorrect,xnli
2,生物圈无法控制其自身维度的增长。,The biosphere cannot control the growth of its own dimensions.,Biospheres cannot control the growth of their own dimensionality.,38.16330911371337,70.11839992353912,44.44444444444444,0.9648551940917968,0.7653952240943909,0.8684625625610352,3089,correct,xnli
3,生物圈无法控制其自身维度的增长。,"In eVect, as we shall see later, biospheres may maximize the average sustained growth of their own  dimensionality.",Biospheres cannot control the growth of their own dimensionality.,23.25377540176809,59.50049430323418,122.22222222222224,0.9278702139854432,0.4432548880577087,0.6914541125297546,3089,incorrect,xnli
4,女性企业领导者中只有10%参加过童子军。,Only 10% of female business leaders have participated in the Boy Scouts.,Only 10% of female business leaders have been in Scouts.,57.57575636202256,77.62950946830111,30.0,0.9507717490196228,0.7678999304771423,0.9379572868347168,3090,correct,xnli
5,女性企业领导者中只有10%参加过童子军。,A recent Lou Harris poll indicates that over 66% of today's female business leaders have Girl Scout backgrounds.,Only 10% of female business leaders have been in Scouts.,14.81394578697113,51.98844699045044,130.0,0.9043701887130736,0.5525806546211243,0.7749271988868713,3090,incorrect,xnli
6,主观满意不是问题。,Subjective satisfaction is not a problem.,The subjective satisfactory is not trouble.,14.535768424205482,55.86571762205208,66.66666666666666,0.9525296092033386,0.6459838151931763,0.7816112637519836,3091,correct,xnli
7,主观满意不是问题。,"The subjective satisfactory , and ordinary word rather than a legal one, is a trouble-maker and should be avoided.",The subjective satisfactory is not trouble.,7.681104116622756,59.50872864315342,250.0,0.8959143757820129,0.4860824346542358,0.5991446375846863,3091,incorrect,xnli
8,混乱政权与有序政权形成鲜明对比。,The chaotic regime is in sharp contrast to the orderly regime.,The chaotic regime contrasts starkly with the ordered regime.,16.59038701421972,60.74304655174985,66.66666666666666,0.9615339636802672,0.8073873519897461,0.9229041934013368,3092,correct,xnli
9,混乱政权与有序政权形成鲜明对比。,One cannot tell the chaotic regime from the ordered regime; they are too similar.,The chaotic regime contrasts starkly with the ordered regime.,11.980914528565991,54.41281676427288,111.11111111111111,0.9287791848182678,0.6156988143920898,0.8233484029769897,3092,incorrect,xnli
10,你恨他生下你这个西班牙人种。,You hate him for giving birth to your Spanish race.,You hate him for delivering you from the Spaniards.,24.808415001701817,42.17457119971439,66.66666666666666,0.916292667388916,0.4603908061981201,0.6092150807380676,3093,correct,xnli
11,你恨他生下你这个西班牙人种。,Your motives were no doubt worthy... your gratitude to him for delivering you from the Spaniards.,You hate him for delivering you from the Spaniards.,34.6697783111003,72.96897416365698,100.0,0.925621747970581,0.4895229935646057,0.6465839743614197,3093,incorrect,xnli
12,民主化还改变了国际地理的整个内在环境,Democratization has also changed the entire internal environment of international geography,Nor does democratization change the underlying reality of international  geography.,14.991106946711684,56.76409293067791,80.0,0.9273464679718018,0.6988663077354431,0.7951230406761169,3094,correct,xnli
13,民主化还改变了国际地理的整个内在环境,Democratization plays a big role in the shifting of the reality of international geography.,Nor does democratization change the underlying reality of international  geography.,25.748661016289677,63.3764056895734,90.0,0.9417243003845216,0.6882360577583313,0.8143179416656494,3094,incorrect,xnli
14,凯恩斯并没有回答这个问题,Keynes did not answer this question,Keyes didn't answer the question.,9.652434877402245,60.56263351382172,100.0,0.9399352073669434,0.5372040867805481,0.8312721848487854,3095,correct,xnli
15,凯恩斯并没有回答这个问题,"Others answered the question, but Keyes stuffed it.",Keyes didn't answer the question.,9.980099403873664,51.45372020796437,140.0,0.926523983478546,0.3849375247955322,0.5729935765266418,3095,incorrect,xnli
16,对于9月11日的撤离没有任何援助。,There was no assistance for the evacuation on September 11.,There are no aids available with regards to the September 11 evacuation.,8.547873467924992,39.74925848561208,75.0,0.9153772592544556,0.7848947644233704,0.833648145198822,3096,correct,xnli
17,对于9月11日的撤离没有任何援助。,"For aids to the September 11 evacuation, see, e.g., Civilian interview 14 (Apr.",There are no aids available with regards to the September 11 evacuation.,18.493046910349435,50.75854741011493,83.33333333333334,0.9069933891296388,0.3236688673496246,0.594068706035614,3096,incorrect,xnli
18,瓷器比家具和银器少。,Porcelain is less than furniture and silverware.,Porcelain is less than furniture and silver.,70.71067811865478,95.46024825216423,14.285714285714285,0.9829041957855223,0.8311076760292053,0.9057468771934508,3097,correct,xnli
19,瓷器比家具和银器少。,"29 for furniture and silver, Tai Sing Company at 122 for porcelain.",Porcelain is less than furniture and silver.,11.35935489027116,55.845042518561485,157.14285714285714,0.909662663936615,0.3874619007110595,0.5890746712684631,3097,incorrect,xnli
20,战后的道路家庭发展只有成年人。,The road family development after the war was only for adults.,The only thing the postwar tract-home developments had were adults.,8.51659301881964,37.10916906089767,90.0,0.8918018937110901,0.5224035978317261,0.6567705273628235,3098,correct,xnli
21,战后的道路家庭发展只有成年人。,"One thing these postwar tract-home developments did have in abundance was kids, and considered as kid cities, they were wonderfully designed.",The only thing the postwar tract-home developments had were adults.,6.964541799727335,55.49969713392683,170.0,0.9181739687919616,0.5110350847244263,0.6334324479103088,3098,incorrect,xnli
22,你需要把整个事情都做完。,You need to finish the whole thing.,You need to go through the whole thing.,44.12484512922978,65.27266301624218,25.0,0.974645495414734,0.7638514637947083,0.8341792821884155,3099,correct,xnli
23,你需要把整个事情都做完。,right right don't go through the whole nine yards and,You need to go through the whole thing.,26.269098944241577,51.14328512543357,75.0,0.8830772638320923,0.3314438462257385,0.4978140890598297,3099,incorrect,xnli
24,他只在边境一侧有同盟军。,He only has Confederate troops on the side of the border.,He only had confederates on one side of the border.,37.7006380454947,70.2380645857278,40.0,0.9516904950141908,0.7511520981788635,0.7503294348716736,3100,correct,xnli
25,他只在边境一侧有同盟军。,He was found to have confederates on both sides of the border.,He only had confederates on one side of the border.,23.90108882452813,59.08144943767974,60.0,0.9465060830116272,0.699799120426178,0.7932247519493103,3100,incorrect,xnli
26,政府以前曾经多次面对这样的恐怖主义。,The government has faced such terrorism many times before.,The government had faced terrorism like this many times before.,30.37441422076456,69.2838986449381,40.0,0.9736127257347108,0.8400648236274719,0.947476327419281,3101,correct,xnli
27,政府以前曾经多次面对这样的恐怖主义。,The terrorism fostered by Bin Ladin and al Qaeda was different from anything the government had faced before.,The government had faced terrorism like this many times before.,10.307386760781874,56.80069458719276,130.0,0.9178866147994996,0.6323530673980713,0.7350067496299744,3101,incorrect,xnli
28,我看不到那只好奇的小野兽。,I can't see that curious little beast.,I cannot see that curious little beast.,70.71067811865478,86.04336915903178,14.285714285714285,0.9497103691101074,0.8847387433052063,0.9376128911972046,3102,correct,xnli
29,我看不到那只好奇的小野兽。,See that curious little beast over there?,I cannot see that curious little beast.,34.57207846419409,70.48401310988173,71.42857142857143,0.9089553952217102,0.6477817296981812,0.7710286378860474,3102,incorrect,xnli
30,这些盒子将在其他礼物之前被打开。,These boxes will be opened before other gifts.,These boxes will be opened before the other presents.,56.481980977130846,71.93436520218724,22.22222222222222,0.977048933506012,0.7978886961936951,0.9509860873222352,3103,correct,xnli
31,这些盒子将在其他礼物之前被打开。,For these boxes will remain in their wrappings long after all of the other presents are opened.,These boxes will be opened before the other presents.,10.934883431625591,60.10880407687801,133.33333333333331,0.9375119805336,0.5936900973320007,0.7672507166862488,3103,incorrect,xnli
32,彼此阻拦,Block each other,get in each other's way yeah,0.0,34.22266929650124,83.33333333333334,0.8439368009567261,0.2688815593719482,0.5765140652656555,3104,correct,xnli
33,彼此阻拦,"Of course, getting out of each other's way.",get in each other's way yeah,15.619699684601285,57.54746586493109,116.66666666666669,0.9045842289924622,0.5606194734573364,0.7794655561447144,3104,incorrect,xnli
34,威胁没有用的，船长。,"Threats are useless, Captain.","Threats will not serve, Captain.",27.48254571080018,46.74193500823496,60.0,0.9636498093605042,0.7546331286430359,0.8860799670219421,3105,correct,xnli
35,威胁没有用的，船长。,"Threats will definitely suffice, Captain.","Threats will not serve, Captain.",30.739407647563212,60.29152122218371,40.0,0.9531710147857666,0.6339083313941956,0.8110676407814026,3105,incorrect,xnli
36,"25美元的20万字的小说就是每美元4,000字。","A 200,000-word novel for $25 is 4,000 words per dollar.","A 200,000 word novel for $25 is 4,000 words per dollar.",80.91067115702207,93.50627309820575,18.181818181818183,0.991323173046112,0.9222182035446168,0.938171088695526,3106,correct,xnli
37,"25美元的20万字的小说就是每美元4,000字。","The average novel of 200,000 words for $25 works out at 8,000 words per dollar.","A 200,000 word novel for $25 is 4,000 words per dollar.",22.048872820716333,66.55818787672668,81.81818181818183,0.9479452967643738,0.7472932934761047,0.8692500591278076,3106,incorrect,xnli
38,如果你选择赞助一名美洲印第安孩子，那么你将不会被允许加入 Futures for Children 组织。,"If you choose to sponsor an American Indian child, then you will not be allowed to join the Futures for Children organization.",If you choose to sponsor an American Indian child you will not be allowed to participate in Futures for Children.,58.94159589207008,79.90668731011502,30.0,0.9692783355712892,0.863459050655365,0.9212560653686525,3107,correct,xnli
39,如果你选择赞助一名美洲印第安孩子，那么你将不会被允许加入 Futures for Children 组织。,We invite you to participate in Futures for Children by sponsoring an American Indian child or by joining a Membership Circle to support our community education projects.,If you choose to sponsor an American Indian child you will not be allowed to participate in Futures for Children.,26.696378876165937,58.91803096716962,90.0,0.9166823029518129,0.5923008322715759,0.7972593903541565,3107,incorrect,xnli
40,四个功利主义者声称我们是平等的，因为我们感到快乐和痛苦。,The four utilitarians claim that we are equal because we feel happy and painful.,4 Utilitarians claim that we are equal because we feel pleasure and pain.,50.31747626530137,77.42285407905949,30.76923076923077,0.9611867666244508,0.7523555159568787,0.8707795739173889,3108,correct,xnli
41,四个功利主义者声称我们是平等的，因为我们感到快乐和痛苦。,4 Utilitarians state that we are unequal because we feel pleasure and pain.,4 Utilitarians claim that we are equal because we feel pleasure and pain.,57.3122448409426,82.43115323201405,15.384615384615383,0.9721074104309082,0.7450597882270813,0.886443555355072,3108,incorrect,xnli
42,音频-脉冲 不是一个专业术语。,Audio-pulse is not a technical term.,Pulse-tone  is not a technical term.,80.91067115702207,72.9264611946529,16.666666666666664,0.9668816924095154,0.6555256843566895,0.8621851205825806,3109,correct,xnli
43,音频-脉冲 不是一个专业术语。,The official technical manual states that pulse-tone is the correct term in this case.,Pulse-tone  is not a technical term.,3.716499092256818,51.89331228121426,200.0,0.9242882132530212,0.5084956884384155,0.7610164880752563,3109,incorrect,xnli
