,source,translation,reference,bleu-score,chrf-score,ter-score,bert-score,bleurt-score,comet-score,id,label,error-type
0,"""""""Even in purely non-religious terms, homosexuality represents a misuse of the sexual faculty.""","""""""Homosexualität stellt auch in rein nicht-religiösen Begriffen einen Missbrauch der sexuellen Fähigkeit dar.""","""""""Selbst aus ganz unreligiöser Sicht stellt die Homosexualität eine sexuelle Verfehlung dar.""",14.44788670919441,47.15202001707786,100.0,0.9070248007774352,0.7281564474105835,0.8400011658668518,19835,correct,punctuation
1,"""""""Even in purely non-religious terms, homosexuality represents a misuse of the sexual faculty.""",Homosexualität stellt auch in rein nicht-religiösen Begriffen einen Missbrauch der sexuellen Fähigkeit dar.,"""""""Selbst aus ganz unreligiöser Sicht stellt die Homosexualität eine sexuelle Verfehlung dar.""",5.451525752850337,45.42318955309842,108.33333333333331,0.891761064529419,0.7128928303718567,0.7662827372550964,19835,incorrect,punctuation
2,It is a pathetic little second-rate substitute for reality -- a pitiable flight from life.,Es ist ein erbärmlicher kleiner zweitklassiger Ersatz für die Realität - ein erbärmlicher Flug aus dem Leben.,"Sie ist ein armseliger, minderwertiger Ersatz für die Realität – ein kläglicher Versuch, dem Leben zu entfliehen.",17.189446416234606,45.555289909040766,64.70588235294117,0.9088823199272156,0.5841223001480103,0.6423676609992981,19836,correct,punctuation
3,It is a pathetic little second-rate substitute for reality -- a pitiable flight from life.,Es ist ein erbärmlicher kleiner zweitklassiger Ersatz für die Realität ein erbärmlicher Flug aus dem Leben,"Sie ist ein armseliger, minderwertiger Ersatz für die Realität – ein kläglicher Versuch, dem Leben zu entfliehen.",16.59267281059304,45.22176468626265,58.82352941176471,0.8856865763664246,0.501190185546875,0.540197491645813,19836,incorrect,punctuation
4,"""As such, it deserves no compassion, it deserves no treatment as minority martyrdom, and it deserves not to be deemed anything but a pernicious sickness. """"""","""Als solche, es verdient kein Mitleid, er verdient keine Behandlung als Minderheit Martyrium, und Sie verdient es, nicht als etwas, sondern eine gefährliche Krankheit. """"""","""Als solches verdient sie kein Mitleid, keine Sonderbehandlung als Märtyrium einer Minderheit, und sollte nur als das betrachtet werden, was sie wirklich ist: eine schädliche Krankheit. """"""",17.653624891330946,51.81442362482098,74.07407407407408,0.9216813445091248,0.3986855447292328,0.5782402157783508,19837,correct,punctuation
5,"""As such, it deserves no compassion, it deserves no treatment as minority martyrdom, and it deserves not to be deemed anything but a pernicious sickness. """"""","Als solche, es verdient kein Mitleid, er verdient keine Behandlung als Minderheit Martyrium, und Sie verdient es, nicht als etwas, sondern eine gefährliche Krankheit.","""Als solches verdient sie kein Mitleid, keine Sonderbehandlung als Märtyrium einer Minderheit, und sollte nur als das betrachtet werden, was sie wirklich ist: eine schädliche Krankheit. """"""",6.9564495202026695,49.52203820820044,77.77777777777779,0.9126011729240416,0.3568354249000549,0.5633953213691711,19837,incorrect,punctuation
6,"That's from Time magazine in 1966, when I was three years old.","Das ist aus dem Time-Magazin von 1966, als ich drei Jahre alt war.","Das schrieb Time Magazine 1966, als ich drei Jahre alt war.",56.59119256652704,67.30304551287368,45.45454545454545,0.9390109777450562,0.801155149936676,0.907196581363678,19838,correct,punctuation
7,"That's from Time magazine in 1966, when I was three years old.",Das ist aus dem TimeMagazin von 1966 als ich drei Jahre alt war,"Das schrieb Time Magazine 1966, als ich drei Jahre alt war.",40.89601472043678,63.88965341281659,63.63636363636363,0.917607605457306,0.7154608368873596,0.9076451063156128,19838,incorrect,punctuation
8,"And last year, the president of the United States came out in favor of gay marriage.",Und im letzten Jahr hat sich der Präsident der Vereinigten Staaten für die Homo-Ehe ausgesprochen.,Und letztes Jahr sprach sich der amerikanische Präsident für die geichgeschlechtliche Ehe aus.,8.225964699966553,37.48500792414976,76.92307692307693,0.9257553219795228,0.7963454127311707,0.8980050683021545,19839,correct,punctuation
9,"And last year, the president of the United States came out in favor of gay marriage.",Und im letzten Jahr hat sich der Präsident der Vereinigten Staaten für die HomoEhe ausgesprochen,Und letztes Jahr sprach sich der amerikanische Präsident für die geichgeschlechtliche Ehe aus.,8.549161846379198,37.46803296154091,76.92307692307693,0.9029080867767334,0.7961098551750183,0.8970310688018799,19839,incorrect,punctuation
10,"And my question is, how did we get from there to here?","Und meine Frage ist, wie sind wir von dort nach hier gekommen?","Und meine Frage ist, wie haben wir es so weit gebracht?",37.596635294670186,49.78294964731644,54.54545454545454,0.9406195282936096,0.7094659209251404,0.8363615870475769,19840,correct,punctuation
11,"And my question is, how did we get from there to here?",Und meine Frage ist wie sind wir von dort nach hier gekommen?,"Und meine Frage ist, wie haben wir es so weit gebracht?",22.24246939793677,43.00641861194831,63.63636363636363,0.9259725213050842,0.6565269231796265,0.8157628774642944,19840,incorrect,punctuation
12,How did an illness become an identity?,Wie wurde eine Krankheit zur Identität?,Wie wurde aus einer Krankheit eine Identität?,17.82013231677092,59.74560618407512,42.85714285714285,0.9495629072189332,0.8676871657371521,0.9284830093383788,19841,correct,punctuation
13,How did an illness become an identity?,Wie wurde eine Krankheit zur Identität,Wie wurde aus einer Krankheit eine Identität?,14.62613413027904,57.24090406406547,57.14285714285714,0.9331729412078856,0.7587003111839294,0.9406119585037231,19841,incorrect,punctuation
14,"When I was perhaps six years old, I went to a shoe store with my mother and my brother.","Als ich vielleicht sechs Jahre alt war, ging ich zu einem Schuhgeschäft mit meiner Mutter und meinem Bruder.","Als ich etwa sechs Jahre alt war, ging ich mit meiner Mutter und meinem Bruder Schuhe kaufen.",56.79161104357995,72.66171763382748,41.17647058823529,0.9413499236106871,0.7714874148368835,0.9163156747817992,19842,correct,punctuation
15,"When I was perhaps six years old, I went to a shoe store with my mother and my brother.",Als ich vielleicht sechs Jahre alt war ging ich zu einem Schuhgeschäft mit meiner Mutter und meinem Bruder,"Als ich etwa sechs Jahre alt war, ging ich mit meiner Mutter und meinem Bruder Schuhe kaufen.",43.74960951307028,68.22580507394078,41.17647058823529,0.9183502793312072,0.7029497027397156,0.9153963923454284,19842,incorrect,punctuation
16,"And at the end of buying our shoes, the salesman said to us that we could each have a balloon to take home.","Und am Ende des Kaufs unserer Schuhe, sagte uns der Verkäufer, dass wir jeder einen Ballon, um nach Hause zu nehmen.","Zum Ende unseres Einkaufs sagte der Schuhverkäufer, dass wir uns jeweils einen Luftballon aussuchen dürften.",7.378790595215932,44.55066490269172,100.0,0.903365194797516,0.5177327394485474,0.6363554000854492,19843,correct,punctuation
17,"And at the end of buying our shoes, the salesman said to us that we could each have a balloon to take home.",Und am Ende des Kaufs unserer Schuhe sagte uns der Verkäufer dass wir jeder einen Ballon um nach Hause zu nehmen,"Zum Ende unseres Einkaufs sagte der Schuhverkäufer, dass wir uns jeweils einen Luftballon aussuchen dürften.",4.968018039415939,40.5198136633503,100.0,0.886532187461853,0.5261570811271667,0.6230728626251221,19843,incorrect,punctuation
18,"My brother wanted a red balloon, and I wanted a pink balloon.","Mein Bruder wollte einen roten Ballon, und ich wollte einen rosa Ballon.","Mein Bruder wollte einen roten, und ich wollte einen rosafarbenen.",54.451788461394045,80.60949041888486,40.0,0.9557847380638124,0.8167648911476135,0.8679832816123962,19844,correct,punctuation
19,"My brother wanted a red balloon, and I wanted a pink balloon.",Mein Bruder wollte einen roten Ballon und ich wollte einen rosa Ballon,"Mein Bruder wollte einen roten, und ich wollte einen rosafarbenen.",53.107253497886994,77.25411873674082,40.0,0.9284435510635376,0.7914562225341797,0.8743078708648682,19844,incorrect,punctuation
20,My mother said that she thought I'd really rather have a blue balloon.,"Meine Mutter hat gesagt, dass sie dachte, ich hätte wirklich lieber einen blauen Ballon.","Meine Mutter meinte, ich solte doch lieber einen blauen Luftballon haben.",12.936981168384865,53.11920093409341,81.81818181818183,0.9359050393104552,0.6997367739677429,0.881806492805481,19845,correct,punctuation
21,My mother said that she thought I'd really rather have a blue balloon.,Meine Mutter hat gesagt dass sie dachte ich hätte wirklich lieber einen blauen Ballon.,"Meine Mutter meinte, ich solte doch lieber einen blauen Luftballon haben.",13.380161378318954,50.51560264012611,81.81818181818183,0.9265626072883606,0.675825834274292,0.874753475189209,19845,incorrect,punctuation
