,source,translation,reference,bleu-score,chrf-score,ter-score,bert-score,bleurt-score,comet-score,id,label,error-type
0,我们都被赋予了相同的确切数字，无论我们被许诺了何种特权，都是谎言。,"We are all given the same exact number, and no matter what privileges we are promised, it is a lie.","We all were given the same exact number no matter what privileges we were promised to be granted, it was all a lie.",36.84182336495997,65.9283534596436,47.82608695652174,0.9634236693382264,0.8219576478004456,0.8996371626853943,2299,correct,untranslated
1,我们都被赋予了相同的确切数字，无论我们被许诺了何种特权，都是谎言。,我们都被赋予了相同的确切数字，无论我们被许诺了何种特权，都是谎言。,"We all were given the same exact number no matter what privileges we were promised to be granted, it was all a lie.",0.0,0.0,100.0,0.8728153705596924,0.5380592942237854,0.7278513312339783,2299,incorrect,untranslated
2,即使需要说的很多，但我也不会谈论这个。,"Even if there is a lot to say, I will not talk about it.","I won't talk about that, even though there's a lot to cover.",12.874330508144835,36.89483215302637,91.66666666666666,0.925684928894043,0.7663734555244446,0.8581438660621643,2300,correct,untranslated
3,即使需要说的很多，但我也不会谈论这个。,即使需要说的很多，但我也不会谈论这个。,"I won't talk about that, even though there's a lot to cover.",0.0,0.0,100.0,0.8573691248893738,0.3787053227424621,0.7504940629005432,2300,incorrect,untranslated
4,我们想减少氢弹，因为它太难对付了。,We want to reduce the hydrogen bomb because it is too difficult to deal with.,We wanted to save the h-bomb because it was so hard to deal with.,20.14941615706458,51.05838713795533,50.0,0.9382177591323853,0.6655290722846985,0.7961840033531189,2301,correct,untranslated
5,我们想减少氢弹，因为它太难对付了。,我们想减少氢弹，因为它太难对付了。,We wanted to save the h-bomb because it was so hard to deal with.,0.0,0.0,100.0,0.886340856552124,0.3354207277297973,0.6699785590171814,2301,incorrect,untranslated
6,尽管Fannie Flono的日程安排很紧，但她今天仍能和我们谈话。,"Although Fannie Flono has a tight schedule, she can still talk to us today.",Fannie Flono was able to speak to us today despite her busy schedule.,12.451643194233863,43.97615240733469,84.61538461538461,0.9339449405670166,0.7630240321159363,0.8664007186889648,2302,correct,untranslated
7,尽管Fannie Flono的日程安排很紧，但她今天仍能和我们谈话。,尽管Fannie Flono的日程安排很紧，但她今天仍能和我们谈话。,Fannie Flono was able to speak to us today despite her busy schedule.,0.0,17.005606833711468,100.0,0.9093575477600098,0.4354443550109863,0.8101997971534729,2302,incorrect,untranslated
8,我根本没和U2乐队打交道。,I didn't deal with U2 at all.,I didn't' deal with the U2's at all.,23.87517132417732,54.050079159005,37.5,0.9578630924224854,0.7818006873130798,0.891135573387146,2303,correct,untranslated
9,我根本没和U2乐队打交道。,我根本没和U2乐队打交道。,I didn't' deal with the U2's at all.,0.0,1.96411263327238,100.0,0.8822358250617981,0.4891775250434875,0.6798623204231262,2303,incorrect,untranslated
10,我和U2的分队一起工作了四十年。,I have worked with the U2 team for 40 years.,I worked with the detachments for the U2's every day for forty years.,14.526870992951157,35.79956548320209,61.53846153846154,0.924959361553192,0.6110450625419617,0.7912256121635437,2304,correct,untranslated
11,我和U2的分队一起工作了四十年。,我和U2的分队一起工作了四十年。,I worked with the detachments for the U2's every day for forty years.,0.0,1.031765750155017,100.0,0.887818455696106,0.40216064453125,0.5698736310005188,2304,incorrect,untranslated
12,这个名叫卡蒂的客户每月能赚10000美元。,"This customer named Katie can earn $10,000 per month.",The client named Cutty makes $10000 a month.,8.913765521398126,29.289668285413605,87.5,0.9289178848266602,0.5800961852073669,0.9005254507064819,2305,correct,untranslated
13,这个名叫卡蒂的客户每月能赚10000美元。,这个名叫卡蒂的客户每月能赚10000美元。,The client named Cutty makes $10000 a month.,0.0,7.712597227139225,100.0,0.8786326050758362,0.4234068393707275,0.8423260450363159,2305,incorrect,untranslated
14,有个客户叫卡提。,There is a customer called Kati.,There is a client named Cutty.,26.269098944241588,36.56628325370681,50.0,0.9461268782615662,0.4793256521224975,0.8742614984512329,2306,correct,untranslated
15,有个客户叫卡提。,有个客户叫卡提。,There is a client named Cutty.,0.0,0.0,100.0,0.8799024820327759,0.2417643666267395,0.8062955737113953,2306,incorrect,untranslated
16,他得到食物和衣服的帮助。,He was helped by food and clothes.,He gets help with his meals and clothes.,19.493995755254467,39.88205529418978,62.5,0.9479401111602784,0.72225421667099,0.8287834525108337,2307,correct,untranslated
17,他得到食物和衣服的帮助。,他得到食物和衣服的帮助。,He gets help with his meals and clothes.,0.0,0.0,100.0,0.9292842745780944,0.3913395702838897,0.749804675579071,2307,incorrect,untranslated
18,我们没有和任何人一起训练。,We did not train with anyone.,We had no training with anyone.,26.269098944241588,55.54468654768311,50.0,0.9697230458259584,0.8125175833702087,0.8861283659934998,2308,correct,untranslated
19,我们没有和任何人一起训练。,我们没有和任何人一起训练。,We had no training with anyone.,0.0,0.0,100.0,0.9304558038711548,0.4845694303512573,0.8089054822921753,2308,incorrect,untranslated
20,我每天都读书。,I read every day.,I read books every day.,40.93653765389909,56.31735516194682,20.0,0.9811099171638488,0.7544558644294739,0.9086627960205078,2309,correct,untranslated
21,我每天都读书。,我每天都读书。,I read books every day.,0.0,0.0,100.0,0.9137601852416992,0.4194088578224182,0.8276272416114807,2309,incorrect,untranslated
22,军事单位不得担任TX大使。,Military units cannot serve as TX ambassadors.,Military units aren't allowed to be TX Ambassadors.,11.59119922599073,50.66538578602343,50.0,0.9400049448013306,0.8091771006584167,0.8382642865180969,2310,correct,untranslated
23,军事单位不得担任TX大使。,军事单位不得担任TX大使。,Military units aren't allowed to be TX Ambassadors.,0.0,1.334794114251716,100.0,0.8678200840950012,0.3881268501281738,0.6888585686683655,2310,incorrect,untranslated
