,source,translation,reference,bleu-score,chrf-score,ter-score,id,qual,error-type
0,"The word civilization comes from the Latin civilis, meaning civil, related to the Latin civis, meaning citizen, and civitas, meaning city or city-state, and that also somehow defines the size of the society.","La palabra civilización proviene del latín civilis, que significa civil, relacionado con el latín civis, que significa ciudadano, y civitas, que significa ciudad o ciudad-estado, y que también define de alguna manera el tamaño de la sociedad.","El término civilización deriva del latín civilis, que quiere decir civil, y se relaciona tanto con la palabra civis, del mismo idioma, que significa ciudadano, como con civitas, que cuyo significado es ciudad o ciudad estado y que, además, determina de algún modo el tamaño de la sociedad.",26.09845667712042,56.712318884820725,54.166666666666664,387,good,omission
1,"The word civilization comes from the Latin civilis, meaning civil, related to the Latin civis, meaning citizen, and civitas, meaning city or city-state, and that also somehow defines the size of the society.","La palabra civilización proviene del latín civilis, que significa ciudad o ciudad-estado, y que también define de alguna manera el tamaño de la sociedad.","El término civilización deriva del latín civilis, que quiere decir civil, y se relaciona tanto con la palabra civis, del mismo idioma, que significa ciudadano, como con civitas, que cuyo significado es ciudad o ciudad estado y que, además, determina de algún modo el tamaño de la sociedad.",13.049288110338841,41.156119579788616,66.66666666666666,387,bad,omission
2,"This became common practice, but the iron caused more wear on the wooden wheels of the wagons.","Esto se convirtió en práctica común, pero el hierro causó más desgaste en las ruedas de madera de los vagones.","Ello se volvió en una práctica habitual, aunque el hierro provocó un mayor desgaste en las ruedas de los vagones, hechas de madera.",23.041246124254332,50.6169449980601,52.17391304347826,388,good,omission
3,"This became common practice, but the iron caused more wear on the wooden wheels of the wagons.","Esto se convirtió en práctica común, pero el hierro causó en las ruedas de madera de los vagones.","Ello se volvió en una práctica habitual, aunque el hierro provocó un mayor desgaste en las ruedas de los vagones, hechas de madera.",16.90102476421186,43.92947789640356,56.52173913043478,388,bad,omission
4,"The obvious way of flying in first or business class is to fork out a thick wad of money for the privilege (or, better yet, get your company to do it for you).","La forma obvia de volar en primera o clase de negocios es forjar un grosor de dinero por el privilegio (o, mejor aún, hacer que su empresa lo haga por usted).","La forma evidente de viajar en la primera clase o en la clase ejecutiva de un avión es gastar una fortuna por ese privilegio (o, lo que es mejor, hacer que su compañía pague por usted).",20.67252852636585,40.398790369300144,55.55555555555556,389,good,omission
5,"The obvious way of flying in first or business class is to fork out a thick wad of money for the privilege (or, better yet, get your company to do it for you).","La forma de volar en primera o clase de negocios es forjar un grosor de dinero por el privilegio (o, mejor aún, hacer que su empresa lo haga por usted).","La forma evidente de viajar en la primera clase o en la clase ejecutiva de un avión es gastar una fortuna por ese privilegio (o, lo que es mejor, hacer que su compañía pague por usted).",20.608668142473956,39.986597289124795,55.55555555555556,389,bad,omission
6,"Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.","Cualquiera que vaya a conducir en latitudes altas o sobre pases de montaña debe considerar la posibilidad de nieve, hielo o temperaturas de congelación.","Cualquier persona que se proponga conducir en latitudes altas o en pasos de montañas debe prever la posibilidad de que haya nieve, hielo o bajas temperaturas.",27.407574768554383,63.13336715193072,50.0,390,good,omission
7,"Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.","Cualquiera debe considerar la posibilidad de nieve, hielo o temperaturas de congelación.","Cualquier persona que se proponga conducir en latitudes altas o en pasos de montañas debe prever la posibilidad de que haya nieve, hielo o bajas temperaturas.",10.590468537741987,39.35838524787342,73.07692307692307,390,bad,omission
8,"Tours are cheaper for larger groups, so if you're by yourself or with just one friend, try to meet other people and form a group of four to six for a better per-person rate.","Los tours son más baratos para grupos más grandes, por lo que si estás solo o con solo un amigo, intenta conocer a otras personas y formar un grupo de cuatro a seis para una mejor tasa por persona.","Las excursiones son más económicas para grupos de más personas, así que, si está solo o con un único amigo, procure conocer gente y formar un grupo de cuatro a seis para obtener una mejor tarifa por cada uno.",28.497846086267394,52.64649405861317,48.717948717948715,391,good,omission
9,"Tours are cheaper for larger groups, so if you're by yourself or with just one friend, try to meet other people and form a group of four to six for a better per-person rate.","Los tours son más baratos para grupos más grandes, por lo que si estás solo o con un amigo, intenta conocer a otras personas y formar un grupo de cuatro a seis para una mejor tasa por persona.","Las excursiones son más económicas para grupos de más personas, así que, si está solo o con un único amigo, procure conocer gente y formar un grupo de cuatro a seis para obtener una mejor tarifa por cada uno.",31.034827943029168,53.817580338921175,46.15384615384615,391,bad,omission
10,Each temple had an open temple courtyard and then an inner sanctuary that only the priests could enter.,Cada templo tenía un patio del templo abierto y luego un santuario interior que sólo los sacerdotes podían entrar.,Los templos tienen un patio abierto y a continuación un santuario interno al que solo podían ingresar los sacerdotes.,8.293052535578585,50.76972527169013,73.68421052631578,392,good,omission
11,Each temple had an open temple courtyard and then an inner sanctuary that only the priests could enter.,Cada templo tenía un patio abierto y luego un santuario interior que sólo los sacerdotes podían entrar.,Los templos tienen un patio abierto y a continuación un santuario interno al que solo podían ingresar los sacerdotes.,17.603947382649423,53.36245793212003,63.1578947368421,392,bad,omission
12,This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you.,Esto se puede hacer fácilmente usando un reloj de alarma relativamente silencioso para llevarte a la conciencia sin despertarte por completo.,"Esto puede lograrse fácilmente con un reloj de alarma más o menos suave que lo haga volver a un estado consciente, aunque sin despertarlo por completo.",13.622844007310947,45.575413643822124,61.53846153846154,393,good,omission
13,This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you.,Esto se puede hacer fácilmente usando un reloj de alarma para llevarte a la conciencia sin despertarte por completo.,"Esto puede lograrse fácilmente con un reloj de alarma más o menos suave que lo haga volver a un estado consciente, aunque sin despertarlo por completo.",13.296094028705097,43.86009839124287,61.53846153846154,393,bad,omission
14,"Winter sports are most popular in the Northern regions, with Italians competing in international games and Olympic events.","Los deportes de invierno son más populares en las regiones del norte, con italianos compitiendo en los juegos internacionales y eventos olímpicos.","Los deportes de invierno cuentan con más popularidad en las zonas de norte, con atletas que participan en torneos internacionales y eventos olímpicos.",31.26851492272872,60.8077441878916,43.47826086956522,394,good,omission
