,source,translation,reference,bleu-score,chrf-score,ter-score,bert-score,bleurt-score,comet-score,id,label,error-type
0,"Es wird nicht lange dauern, bis ich mich daran erinnere, ihr Name liegt mir auf der Zunge.","It won't take me much time to remember, her name is on the tip of my tongue.","It won't take me much time to remember, her name is only slipping my mind for a second.",58.94330056015767,65.49737580796496,38.88888888888889,0.952653169631958,0.676781952381134,0.7642983794212341,16203,correct,overly-literal
1,"Es wird nicht lange dauern, bis ich mich daran erinnere, ihr Name liegt mir auf der Zunge.","It won't take me much time to remember, her name is lying on my tongue.","It won't take me much time to remember, her name is only slipping my mind for a second.",58.83063759176085,64.52068027986778,33.33333333333333,0.9522828459739684,0.6419426202774048,0.7356969118118286,16203,incorrect,overly-literal
2,"Diese Uhren sind in Kanada sehr teuer, aber Sie können sie für ein Butterbrot in der Schweiz kaufen.",These watches are very expensive in Canada but you can buy them for a song in Switzerland.,These watches are very expensive in Canada but you can buy them for a reasonable price in Switzerland.,79.4069318995806,82.72918799696167,11.11111111111111,0.9679583311080932,0.6390221118927002,0.7378737330436707,16204,correct,overly-literal
3,"Diese Uhren sind in Kanada sehr teuer, aber Sie können sie für ein Butterbrot in der Schweiz kaufen.",These watches are very expensive in Canada but you can buy them for butter and bread in Switzerland.,These watches are very expensive in Canada but you can buy them for a reasonable price in Switzerland.,73.31765459202478,80.27677357144357,16.666666666666664,0.963499903678894,0.5639336109161377,0.7996438145637512,16204,incorrect,overly-literal
4,"Maria ein Makeover zu verpassen war ein Kinderspiel, weil sie so natürlich schön ist.","Giving Maria a make-over was a piece of cake, because she's so naturally beautiful.","Giving Maria a make-over was not hard work, because she's so naturally beautiful.",60.2608097855714,80.10370013118505,30.76923076923077,0.959938108921051,0.7703256607055664,0.91657292842865,16205,correct,overly-literal
5,"Maria ein Makeover zu verpassen war ein Kinderspiel, weil sie so natürlich schön ist.","Giving Maria a make-over was a children's game, because she's so naturally beautiful.","Giving Maria a make-over was not hard work, because she's so naturally beautiful.",64.75445426291287,79.8676073729769,23.07692307692308,0.9615300297737122,0.6097583770751953,0.9012452363967896,16205,incorrect,overly-literal
6,"Die Nachbarin nörgelt ständig an ihrem Mann, weil sie die Brötchen verdient.",The lady next door keeps nagging her husband because she brings home the bacon.,The lady next door keeps nagging her husband because she brings home the majority of the money.,70.95461077803648,78.88986650381204,23.52941176470588,0.9732146859169006,0.5757468342781067,0.7313225865364075,16206,correct,overly-literal
7,"Die Nachbarin nörgelt ständig an ihrem Mann, weil sie die Brötchen verdient.",The lady next door keeps nagging her husband because she earns the bread rolls.,The lady next door keeps nagging her husband because she brings home the majority of the money.,53.66709356763708,64.81467313255514,35.294117647058826,0.9560075998306274,0.5431591272354126,0.7184239029884338,16206,incorrect,overly-literal
8,Dieser stagnierende Verkehr und das ständige Hupen geht mir auf den Wecker.,This stagnant traffic and constant honking is driving me up the wall.,This stagnant traffic and constant honking is making me very angry.,50.08718428920986,72.62919938476568,36.36363636363637,0.9369031190872192,0.6482023596763611,0.8323103189468384,16207,correct,overly-literal
9,Dieser stagnierende Verkehr und das ständige Hupen geht mir auf den Wecker.,This stagnant traffic and constant honking is driving me up the alarm clock.,This stagnant traffic and constant honking is making me very angry.,46.0462862587273,72.21434216683573,45.45454545454545,0.9325313568115234,0.5357232093811035,0.812512218952179,16207,incorrect,overly-literal
10,"Ich habe aus der Gerüchteküche gehört, dass er befördert wird, aber ich weiß nichts weiter.","I heard it through the grapevine that he was being promoted, but I don't know anything further.","I heard news that he was being promoted, but I don't know anything further.",69.29598487720368,84.94442102502482,28.57142857142857,0.9564188718795776,0.801785409450531,0.8872285485267639,16208,correct,overly-literal
11,"Ich habe aus der Gerüchteküche gehört, dass er befördert wird, aber ich weiß nichts weiter.","I heard from the gossip kitchen that he was being promoted, but I don't know anything further.","I heard news that he was being promoted, but I don't know anything further.",69.29598487720368,85.21117854593048,28.57142857142857,0.9627469778060912,0.7871187329292297,0.8863446116447449,16208,incorrect,overly-literal
12,"Die Lehrerin hatte den Schüler mehrmals gebeten, ruhig zu sein, aber er sprach immer noch, und sie wurde wütend und bat ihn, die Klappe zu halten.",The teacher had asked the student to be quiet several times but he was still talking and she got angry and asked him to put a sock in it.,The teacher had asked the student to be quiet several times but he was still talking and she got angry and asked him to shut up.,79.71998219503662,92.89605200455811,19.230769230769237,0.9703297019004822,0.6008872985839844,0.7135690450668335,16209,correct,overly-literal
13,"Die Lehrerin hatte den Schüler mehrmals gebeten, ruhig zu sein, aber er sprach immer noch, und sie wurde wütend und bat ihn, die Klappe zu halten.",The teacher had asked the student to be quiet several times but he was still talking and she got angry and asked him to hold the lid.,The teacher had asked the student to be quiet several times but he was still talking and she got angry and asked him to shut up.,85.74694719523488,92.77961114567104,11.538461538461538,0.9790887236595154,0.672674834728241,0.8468834757804871,16209,incorrect,overly-literal
